,REGIONAL,DEPARTAMENTO,CIUDAD,NOMBRE_OFICINA
354,SANTANDERES Y ARAUCA,SANTANDER,BARRANCABERMEJA,BARRANCABERMEJA
355,SANTANDERES Y ARAUCA,SANTANDER,BARRANCABERMEJA,SAN SILVESTRE
356,CARIBE,CORDOBA,LORICA,LORICA
357,CARIBE,CORDOBA,MONTERIA,BUENAVISTA MONTERIA
358,CARIBE,CORDOBA,MONTERIA,PRINCIPAL MONTERIA
359,CARIBE,CORDOBA,MONTERIA,NUESTRO MONTERIA
360,CARIBE,CORDOBA,MONTERIA,ALAMEDAS
361,CENTRO SUR,TOLIMA,MARIQUITA,MARIQUITA
362,CENTRO SUR,BOYACA,PUERTO BOYACA,PUERTO BOYACA
363,CENTRO SUR,TOLIMA,IBAGUE,PRINCIPAL IBAGUE
364,CENTRO SUR,TOLIMA,IBAGUE,LA MACARENA
365,CENTRO SUR,TOLIMA,ESPINAL,ESPINAL
366,CENTRO SUR,TOLIMA,IBAGUE,MULTICENTRO
367,CENTRO SUR,TOLIMA,IBAGUE,MURILLO TORO
368,CENTRO SUR,TOLIMA,IBAGUE,SAN ROQUE
369,CENTRO SUR,TOLIMA,LIBANO,LIBANO
370,CENTRO SUR,TOLIMA,ORTEGA,ORTEGA
371,CENTRO SUR,TOLIMA,CHAPARRAL,CHAPARRAL
372,CENTRO SUR,TOLIMA,FRESNO,FRESNO
373,CENTRO SUR,TOLIMA,IBAGUE,CARRERA QUINTA
374,CENTRO SUR,TOLIMA,IBAGUE,CENTRO COMERCIAL LA ESTACION
375,CENTRO SUR,BOYACA,TUNJA,PRINCIPAL TUNJA
376,CENTRO SUR,BOYACA,TUNJA,PLAZA REAL
377,CENTRO SUR,BOYACA,TUNJA,UNICENTRO TUNJA
378,CENTRO SUR,BOYACA,SOGAMOSO,IWOKA
379,CENTRO SUR,BOYACA,TUNJA,PLAZOLETA BANCARIA
380,CENTRO SUR,BOYACA,MONIQUIRA,MONIQUIRA
381,CENTRO SUR,BOYACA,MIRAFLORES,MIRAFLORES BOYACA
382,CENTRO SUR,CASANARE,TAURAMENA,TAURAMENA
383,CENTRO SUR,BOYACA,SAMACA,SAMACA
384,CENTRO SUR,BOYACA,NOBSA,ACERIAS PAZ DEL RIO
385,CENTRO SUR,BOYACA,VILLA DE LEYVA,VILLA DE LEYVA
386,CENTRO SUR,BOYACA,DUITAMA,INNOVO
387,CENTRO SUR,BOYACA,SOGAMOSO,SOGAMOSO
388,VALLE Y CAUCA,CAUCA,POPAYAN,POPAYAN
389,VALLE Y CAUCA,CAUCA,POPAYAN,COLONIAL
390,VALLE Y CAUCA,CAUCA,POPAYAN,CAMPANARIO
391,CARIBE,SUCRE,SINCELEJO,SINCELEJO
392,CARIBE,SUCRE,SINCELEJO,CARRERA 20
393,CARIBE,SUCRE,SINCELEJO,AV LAS PENITAS
394,VALLE Y CAUCA,VALLE,BUENAVENTURA,BUENAVENTURA
395,SANTANDERES Y ARAUCA,NORTE DE SANTANDER,OCANA,OCANA
396,CARIBE,LA GUAJIRA,RIOHACHA,VIVA WAJIIRA
397,CARIBE,LA GUAJIRA,RIOHACHA,RIOHACHA
398,CARIBE,LA GUAJIRA,RIOHACHA,SUCHIIMMA
399,CENTRO SUR,BOYACA,DUITAMA,DUITAMA
400,CARIBE,CESAR,VALLEDUPAR,MAYALES PLAZA
401,CARIBE,CESAR,VALLEDUPAR,VALLEDUPAR
402,CARIBE,CESAR,VALLEDUPAR,LOPERENA
403,CARIBE,CESAR,AGUSTIN CODAZZI,CODAZZI
404,CARIBE,LA GUAJIRA,SAN JUAN DEL CESAR,SAN JUAN DEL CESAR
405,CARIBE,LA GUAJIRA,VILLANUEVA,VILLANUEVA
406,CARIBE,CESAR,VALLEDUPAR,GUATAPURI
407,CENTRO SUR,SAN ANDRES ISLA,SAN ANDRES,SAN ANDRES
408,VALLE Y CAUCA,VALLE,CALI,ESCUELA MILITAR DE AVIACION
409,CENTRO SUR,CASANARE,YOPAL,YOPAL
410,CENTRO SUR,CASANARE,YOPAL,EL YOPO
411,CENTRO SUR,NARINO,IPIALES,IPIALES
412,CENTRO SUR,CUNDINAMARCA,GIRARDOT,PRINCIPAL GIRARDOT
413,CENTRO SUR,CUNDINAMARCA,GIRARDOT,CENCOSUD JUMBO GIRARDOT
414,VALLE Y CAUCA,VALLE,TULUA,TULUA
415,VALLE Y CAUCA,VALLE,PALMIRA,UNICENTRO PALMIRA
416,CENTRO SUR,BOYACA,CHIQUINQUIRA,CHIQUINQUIRA
417,ANTIOQUIA,ANTIOQUIA,MEDELLIN,AVENTURA
418,ANTIOQUIA,ANTIOQUIA,COPACABANA,HACEB
