,FECHA_APERTURA,MES,REGIONAL,DAVIDA,DESEMPLEO_VEHICULO,DESEMPLEO_FIJO,DESEMPLEO_LIBRANZA,DESEMPLEO_HIPOTECARIO,ACCIDENTES_PERSONALES,DESEMPLEO_TDC,HOGAR,INCENDIO_TERREMOTO_REINV,PROTECCION_TARJETAS,RENTA_DIARIA,SOAT,TRANQUILIDAD_MUJER,VEHICULO,VIDA_DEUDORES_REINV,crit_DAVIDA,crit_DESEMPLEO_FIJO,crit_DESEMPLEO_HIPOTECARIO,crit_DESEMPLEO_LIBRANZA,crit_DESEMPLEO_VEHICULO,crit_ACCIDENTES_PERSONALES,crit_DESEMPLEO_TDC,crit_HOGAR,crit_INCENDIO_TERREMOTO_REINV,crit_PROTECCION_TARJETAS,crit_RENTA_DIARIA,crit_SOAT,crit_TRANQUILIDAD_MUJER,crit_VEHICULO,crit_VIDA_DEUDORES_REINV,VAL_DAVIDA,VAL_DESEMPLEO_FIJO,VAL_DESEMPLEO_HIPOTECARIO,VAL_DESEMPLEO_VEHICULO,VAL_DESEMPLEO_LIBRANZA,VAL_ACCIDENTES_PERSONALES,VAL_DESEMPLEO_TDC,VAL_HOGAR,VAL_INCENDIO_TERREMOTO_REINV,VAL_PROTECCION_TARJETAS,VAL_RENTA_DIARIA,VAL_SOAT,VAL_TRANQUILIDAD_MUJER,VAL_VEHICULO,VAL_VIDA_DEUDORES_REINV,OP_DAVIDA_ACTIVACION_TDC,OP_DAVIDA_APERTURAS_PASIVO,OP_DAVIDA_APROBACIONES_CREDITOS,OP_DAVIDA_DESEMBOLSOS_CREDITOS,OP_DAVIDA_SOLICITUDES,OP_DAVIDA_PREAPROBADOS,OP_DAVIDA_TRANSACCIONES_CAJA,OP_DAVIDA_OTRA,OP_DESEMPLEO_VEHICULO_ACTIVACION_TDC,OP_DESEMPLEO_VEHICULO_APERTURAS_PASIVO,OP_DESEMPLEO_VEHICULO_APROBACIONES_CREDITOS,OP_DESEMPLEO_VEHICULO_DESEMBOLSOS_CREDITOS,OP_DESEMPLEO_VEHICULO_OTRA,OP_DESEMPLEO_VEHICULO_PREAPROBADOS,OP_DESEMPLEO_VEHICULO_SOLICITUDES,OP_DESEMPLEO_VEHICULO_TRANSACCIONES_CAJA,OP_DESEMPLEO_FIJO_ACTIVACION_TDC,OP_DESEMPLEO_FIJO_APERTURAS_PASIVO,OP_DESEMPLEO_FIJO_APROBACIONES_CREDITOS,OP_DESEMPLEO_FIJO_DESEMBOLSOS_CREDITOS,OP_DESEMPLEO_FIJO_OTRA,OP_DESEMPLEO_FIJO_PREAPROBADOS,OP_DESEMPLEO_FIJO_SOLICITUDES,OP_DESEMPLEO_FIJO_TRANSACCIONES_CAJA,OP_DESEMPLEO_LIBRANZA_ACTIVACION_TDC,OP_DESEMPLEO_LIBRANZA_DESEMPLEO_LIBRANZA_APERTURAS_PASIVO,OP_DESEMPLEO_LIBRANZA_APROBACIONES_CREDITOS,OP_DESEMPLEO_LIBRANZA_DESEMBOLSOS_CREDITOS,OP_DESEMPLEO_LIBRANZA_OTRA,OP_DESEMPLEO_LIBRANZA_PREAPROBADOS,OP_DESEMPLEO_LIBRANZA_SOLICITUDES,OP_DESEMPLEO_LIBRANZA_TRANSACCIONES_CAJA,OP_DESEMPLEO_HIPOTECARIO_ACTIVACION_TDC,OP_DESEMPLEO_HIPOTECARIO_APERTURAS_PASIVO,OP_DESEMPLEO_HIPOTECARIO_APROBACIONES_CREDITOS,OP_DESEMPLEO_HIPOTECARIO_DESEMBOLSOS_CREDITOS,OP_DESEMPLEO_HIPOTECARIO_OTRA,OP_DESEMPLEO_HIPOTECARIO_PREAPROBADOS,OP_DESEMPLEO_HIPOTECARIO_SOLICITUDES,OP_DESEMPLEO_HIPOTECARIO_TRANSACCIONES_CAJA,PENETRACION_DAVIDA,PENETRACION_DAVIDA_TXT,PENETRACION_DESEMPLEO_VEHICULO,PENETRACION_DESEMPLEO_VEHICULO_TXT,PENETRACION_DESEMPLEO_LIBRANZA,PENETRACION_DESEMPLEO_LIBRANZA_TXT,PENETRACION_DESEMPLEO_HIPOTECARIO,PENETRACION_DESEMPLEO_HIPOTECARIO_TXT,PENETRACION_DESEMPLEO_FIJO,PENETRACION_DESEMPLEO_FIJO_TXT,PENETRACION_ACCIDENTES_PERSONALES,PENETRACION_ACCIDENTES_PERSONALES_TXT,PENETRACION_DESEMPLEO_TDC,PENETRACION_DESEMPLEO_TDC_TXT,PENETRACION_HOGAR,PENETRACION_HOGAR_TXT,PENETRACION_INCENDIO_TERREMOTO_REINV,PENETRACION_INCENDIO_TERREMOTO_REINV_TXT,PENETRACION_PROTECCION_TARJETAS,PENETRACION_PROTECCION_TARJETAS_TXT,PENETRACION_RENTA_DIARIA,PENETRACION_RENTA_DIARIA_TXT,PENETRACION_SOAT,PENETRACION_SOAT_TXT,PENETRACION_TRANQUILIDAD_MUJER,PENETRACION_TRANQUILIDAD_MUJER_TXT,PENETRACION_VEHICULO,PENETRACION_VEHICULO_TXT,PENETRACION_VIDA_DEUDORES_REINV,PENETRACION_VIDA_DEUDORES_REINV_TXT
10,2017-07-01,Jul,BOGOTA,2208,137,579,2105,206,15,125,98,868,341,73,728,141,200,989,434789,8188,1979,7549,1217,0,0,1979,1979,6299,0,0,6339,1217,23664,1117946779,36247705,15411725,6491801,67131662,2128000,5863607,5560534,42893283,7453597,1684852,26623614,4179849,26940180,100137799,444,64,8,205,339,75,1073,0,0,0,0,88,47,2,0,0,0,0,46,516,17,0,0,0,0,0,156,1850,98,1,0,0,0,0,0,152,54,0,0,0,0.51,Pen. 0.51%,11.26,Pen. 11.26%,27.88,Pen. 27.88%,10.41,Pen. 10.41%,7.07,Pen. 7.07%,inf,Pen. inf%,inf,Pen. inf%,4.95,Pen. 4.95%,43.86,Pen. 43.86%,5.41,Pen. 5.41%,inf,Pen. inf%,inf,Pen. inf%,2.22,Pen. 2.22%,16.43,Pen. 16.43%,4.18,Pen. 4.18%
11,2017-07-01,Jul,CARIBE,1043,34,265,787,92,8,24,1,477,95,23,139,34,59,511,124965,3807,1165,3691,623,0,0,1165,1165,1853,0,0,1859,623,11211,550702931,16147627,6647458,1602915,25734518,1896000,1920762,77475,12957434,2004088,655319,4867843,656418,10674564,27229551,155,28,24,255,47,19,515,0,0,0,0,31,3,0,0,0,0,0,22,236,7,0,0,0,0,0,59,699,29,0,0,0,0,0,0,74,18,0,0,0,0.83,Pen. 0.83%,5.46,Pen. 5.46%,21.32,Pen. 21.32%,7.9,Pen. 7.9%,6.96,Pen. 6.96%,inf,Pen. inf%,inf,Pen. inf%,0.09,Pen. 0.09%,40.94,Pen. 40.94%,5.13,Pen. 5.13%,inf,Pen. inf%,inf,Pen. inf%,1.83,Pen. 1.83%,9.47,Pen. 9.47%,4.56,Pen. 4.56%
12,2017-07-01,Jul,CENTRO SUR,1212,32,291,712,43,5,25,8,272,86,30,95,31,26,314,130427,2793,933,3924,524,0,0,933,933,1674,0,0,1679,524,11268,575476100,14119703,2799410,1720937,23868149,984000,2002410,175579,10870448,1957193,818348,3626191,1217242,3671712,22925597,133,19,8,175,76,36,765,0,0,0,0,26,6,0,0,0,0,0,15,271,5,0,0,0,0,0,47,627,38,0,0,0,0,0,0,34,9,0,0,0,0.93,Pen. 0.93%,6.11,Pen. 6.11%,18.14,Pen. 18.14%,4.61,Pen. 4.61%,10.42,Pen. 10.42%,inf,Pen. inf%,inf,Pen. inf%,0.86,Pen. 0.86%,29.15,Pen. 29.15%,5.14,Pen. 5.14%,inf,Pen. inf%,inf,Pen. inf%,1.85,Pen. 1.85%,4.96,Pen. 4.96%,2.79,Pen. 2.79%
13,2017-07-01,Jul,CUNDINAMARCA,486,6,116,349,20,0,3,2,222,19,14,34,6,18,231,62633,1370,435,1458,196,0,0,435,435,349,0,0,351,196,4515,217435800,6442587,755985,244233,9078181,0,49248,90177,6940650,647574,298091,1324052,106410,2916423,12159978,54,14,2,40,70,20,286,0,0,0,0,4,2,0,0,0,0,0,8,104,4,0,0,0,0,0,30,311,8,0,0,0,0,0,0,14,6,0,0,0,0.78,Pen. 0.78%,3.06,Pen. 3.06%,23.94,Pen. 23.94%,4.6,Pen. 4.6%,8.47,Pen. 8.47%,,Pen. nan%,inf,Pen. inf%,0.46,Pen. 0.46%,51.03,Pen. 51.03%,5.44,Pen. 5.44%,inf,Pen. inf%,inf,Pen. inf%,1.71,Pen. 1.71%,9.18,Pen. 9.18%,5.12,Pen. 5.12%
14,2017-07-01,Jul,EJE CAFETERO,648,35,113,502,27,11,21,2,167,37,19,102,14,20,199,88117,1671,713,2123,475,0,0,713,713,1498,0,0,1501,475,6712,317000000,5214336,1453009,1025960,13261073,1904000,1002113,15925,6789279,931138,455525,3529778,783460,2997479,12794926,63,7,6,87,32,6,447,0,0,0,0,32,3,0,0,0,0,0,12,99,2,0,0,0,0,0,28,467,6,1,0,0,0,0,0,20,7,0,0,0,0.74,Pen. 0.74%,7.37,Pen. 7.37%,23.65,Pen. 23.65%,3.79,Pen. 3.79%,6.76,Pen. 6.76%,inf,Pen. inf%,inf,Pen. inf%,0.28,Pen. 0.28%,23.42,Pen. 23.42%,2.47,Pen. 2.47%,inf,Pen. inf%,inf,Pen. inf%,0.93,Pen. 0.93%,4.21,Pen. 4.21%,2.96,Pen. 2.96%
15,2017-07-01,Jul,OTRA,41,4,3,4,19,1947,1263,1,9,4337,128,49,2180,7,15,0,199,23,0,25,20159,10246,0,0,42445,5210,0,32213,16,0,17501900,107933,1291042,129620,441978,274824000,15996891,49057,208892,64965039,3387662,1595492,29675059,840234,856162,0,0,0,0,0,0,0,41,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,inf,Pen. inf%,16.0,Pen. 16.0%,inf,Pen. inf%,82.61,Pen. 82.61%,1.51,Pen. 1.51%,9.66,Pen. 9.66%,12.33,Pen. 12.33%,inf,Pen. inf%,inf,Pen. inf%,10.22,Pen. 10.22%,2.46,Pen. 2.46%,inf,Pen. inf%,6.77,Pen. 6.77%,43.75,Pen. 43.75%,inf,Pen. inf%
16,2017-07-01,Jul,SANTANDERES Y ARAUCA,510,25,127,352,41,0,16,13,106,45,10,56,20,34,117,77261,1529,491,1990,357,0,0,491,491,899,0,0,903,357,5719,243733100,7161872,2150123,1390914,10710561,0,215657,256282,3817723,890461,227763,2070717,482830,5596933,8684877,74,14,4,59,56,9,294,0,0,0,0,24,1,0,0,0,0,0,7,116,4,0,0,0,0,0,16,322,14,0,0,0,0,0,0,37,4,0,0,0,0.66,Pen. 0.66%,7.0,Pen. 7.0%,17.69,Pen. 17.69%,8.35,Pen. 8.35%,8.31,Pen. 8.31%,,Pen. nan%,inf,Pen. inf%,2.65,Pen. 2.65%,21.59,Pen. 21.59%,5.01,Pen. 5.01%,inf,Pen. inf%,inf,Pen. inf%,2.21,Pen. 2.21%,9.52,Pen. 9.52%,2.05,Pen. 2.05%
17,2017-07-01,Jul,VALLE Y CAUCA,929,49,166,643,63,2,30,3,213,32,16,118,19,49,251,88819,1841,907,2682,750,0,0,907,907,1083,0,0,1086,750,8061,437432335,8932425,3856655,2184820,15549456,624000,1820059,25298,9257694,743661,391595,4302016,515680,8275904,21762303,102,12,8,137,62,35,573,0,0,0,0,46,3,0,0,0,0,0,10,152,3,1,0,0,0,0,43,585,15,0,0,0,0,0,0,54,9,0,0,0,1.05,Pen. 1.05%,6.53,Pen. 6.53%,23.97,Pen. 23.97%,6.95,Pen. 6.95%,9.02,Pen. 9.02%,inf,Pen. inf%,inf,Pen. inf%,0.33,Pen. 0.33%,23.48,Pen. 23.48%,2.95,Pen. 2.95%,inf,Pen. inf%,inf,Pen. inf%,1.75,Pen. 1.75%,6.53,Pen. 6.53%,3.11,Pen. 3.11%
18,2017-08-01,Aug,ANTIOQUIA,1014,47,122,1693,39,4,5,0,203,62,0,0,14,0,232,96102,2163,799,5682,737,0,0,799,799,1661,0,0,1671,737,13199,464531600,9156192,3007087,1822535,50658131,1152000,290931,0,13106648,5587777,0,0,1078668,0,26229422,86,28,6,285,72,31,506,0,0,0,1,40,6,0,0,0,0,0,0,114,8,0,0,0,0,0,0,1679,13,1,0,0,0,0,0,26,13,0,0,0,1.06,Pen. 1.06%,6.38,Pen. 6.38%,29.8,Pen. 29.8%,4.88,Pen. 4.88%,5.64,Pen. 5.64%,inf,Pen. inf%,inf,Pen. inf%,0.0,Pen. 0.0%,25.41,Pen. 25.41%,3.73,Pen. 3.73%,,Pen. nan%,,Pen. nan%,0.84,Pen. 0.84%,0.0,Pen. 0.0%,1.76,Pen. 1.76%
19,2017-08-01,Aug,BOGOTA,2354,172,612,2439,243,8,46,0,749,407,0,0,115,0,827,441742,8200,2181,8234,1662,0,0,2181,2181,6868,0,0,6887,1662,25913,1233559600,53148623,20814158,8670000,95925215,2256000,1737712,0,43785504,35749173,0,0,7396334,0,89547736,499,42,11,276,387,52,1087,0,0,0,0,119,51,2,0,0,0,0,0,591,20,1,0,0,0,0,0,2359,77,3,0,0,0,0,1,177,65,0,0,0,0.53,Pen. 0.53%,10.35,Pen. 10.35%,29.62,Pen. 29.62%,11.14,Pen. 11.14%,7.46,Pen. 7.46%,inf,Pen. inf%,inf,Pen. inf%,0.0,Pen. 0.0%,34.34,Pen. 34.34%,5.93,Pen. 5.93%,,Pen. nan%,,Pen. nan%,1.67,Pen. 1.67%,0.0,Pen. 0.0%,3.19,Pen. 3.19%
